sample_no,tar,c,s,humidity,ash,s112,s112_315,s315,factory,trailer,time_1,location
Sample98-43,981015,78,1.3,0,0,16.5,0,2.1,Damghan,,  /  /,
Sample98-51,981110,72.2,1.5,0,0,14,4,1,Damghan,,  /  /,
Sample98-52,981110,74.7,1.3,0,0,3,1,2,Damghan,,  /  /,
Sample98-53,981110,71.3,1.5,0,0,2,0,18,Damghan,,  /  /,
Sample98-54,981110,82.1,0.6,0,0,2,0,3,zob ahan,,  /  /,
Sample98-55,981110,82.8,0.7,0,0,2,0,5,zob ahan,,  /  /,
Sample98-56,981110,83.4,0.7,0,0,2,0,2,zob ahan,,  /  /,
Sample98-58,981114,85.3,1.3,0,0,10.1,7.1,2.1,Damghan,,  /  /,
Sample98-61,981120,54.9,0.6,0,0,4.7,0,0,,,  /  /,
Coke98-250,981014,80.9,0.8,0,0,0,2,20,ÏÑÔÊ ÏÇäå,,  /  /,2
Coke98-257,981023,73.8,1.2,0,0,14.5,6.3,5.7,ÏÑÔÊ ÏÇäå,,  /  /,1
Coke98-258,981023,72,1.1,0,0,11.3,5.2,4.3,ÏÑÔÊ ÏÇäå,,  /  /,2
Coke98-259,981023,67,1.3,0,0,7.4,4.8,4.3,ÏÑÔÊ ÏÇäå,,  /  /,3
Coke98-275,981030,68.4,1.3,0,0,7.3,2.1,22.1,ÏÑÔÊ ÏÇäå,,  /  /,1
Coke98-276,981030,70.7,1.3,0,0,14.6,5.5,4.3,ÏÑÔÊ ÏÇäå,,  /  /,2
Coke98-293,981106,76.4,0.8,0,0,7.9,4.3,32.1,,,  /  /,1
COKE98-331,981129,78.5,0.8,0,0,0,0,95,,,  /  /,
Coke99-243,950507,82.5,1.1,0,0,0,94,6,ZOB AHAN,,  /  /,317Ú41
Coke99-246,950507,81.3,0.9,0,0,5,92,3,ZOB AHAN,,  /  /,437Ú55
Coke99-250,950508,83.6,1,0,0,1,94,5,ZOB AHAN,,  /  /,532Ú96
Coke99-259,950508,80.8,0.9,0,0,3.4,58.3,38.3,ZARAND KER,,  /  /,848Ú35
Coke99-260,950508,86.6,0.9,0,0,1,95,4,ZOB AHAN,,  /  /,437Ú55
Coke99-243,13950507,82.5,1.1,0,0,0,94,6,ZOB AHAN,,  /  /,317Ú41
Coke99-246,13950507,81.3,0.9,0,0,5,92,3,ZOB AHAN,,  /  /,437Ú55
Coke99-250,13950508,83.6,1,0,0,1,94,5,ZOB AHAN,,  /  /,532Ú96
Coke99-259,13950508,80.8,0.9,0,0,3.4,58.3,38.3,ZARAND KERMAN,,  /  /,848Ú35
Coke99-260,13950508,86.6,0.9,0,0,1,95,4,ZOB AHAN,,  /  /,437Ú55
Coke99-409,90701,80.8,0.9,0,0,2,80,18,ZARAND KERMAN,,  /  /,177Ú49
Coke99-412,90703,80.8,1,0,0,1,87,12,ZARAND KERMAN,,  /  /,-
Coke99-56,13990208,0,0,0,0,16.4,76.5,7.1,EAF,,  /  /,-
Coke99-88,13990317,81.4,1.5,0,0,1.4,72.9,25.7,ZARAND KERMAN,,  /  /,1
Coke99-89,13990317,85.1,1.1,0,0,1.5,86.4,12.1,ZARAND KERMAN,,  /  /,2
Coke99-92,13990324,66.3,2.2,0,0,16.5,82.1,1.4,semnan-2,,  /  /,
Coke99-93,13990324,72,2.2,0,0,8.7,89.2,2.1,semnan-1,,  /  /,
Coke99-98-1,13990327,60.9,1.9,0,0,30,69,1,Damghan,,  /  /,645Ú73
Coke99-99,13990327,71.6,2.1,0,0,29,71,0,Damghan,,  /  /,168Ú73
Coke99-151,13990502,82.03,1.4,0,0,3,89,8,ZOB AHAN,,  /  /,41Ú317
Coke99-152,13990502,81.2,1,0,0,1,88,11,ZOB AHAN,,  /  /,64Ú562
Coke99-153,13990502,83,1.1,0,0,4,94,2,ZOB AHAN,,  /  /,14Ú779
Coke99-154,13990502,84.5,1,0,0,1,92,7,ZOB AHAN,,  /  /,38Ú272
Coke99-155,13990502,83.2,1,0,0,2,91,7,ZOB AHAN,,  /  /,72Ú954
Coke99-156,13990502,83.1,1.3,0,0,1,95,4,ZOB AHAN,,  /  /,75Ú178
Coke99-157,13990502,82.3,1,0,0,1,94,5,ZOB AHAN,,  /  /,87Ú115
Coke99-158,13990502,80,1.2,0,0,1,94,5,ZOB AHAN,,  /  /,78Ú637
Coke99-159,13990502,82.5,1.2,0,0,1,97,2,ZOB AHAN,,  /  /,41Ú499
Coke99-160,13990502,81.6,1,0,0,1,93,6,ZOB AHAN,,  /  /,66Ú486
Coke99-161,13990502,82.3,0.9,0,0,1,92,7,ZOB AHAN,,  /  /,19Ú825
Coke99-162,13990502,81.5,1.1,0,0,4,89,7,ZOB AHAN,,  /  /,86Ú254
Coke99-163,13990502,81.9,1.2,0,0,1,94,5,ZOB AHAN,,  /  /,92Ú925
