sample_no,sampling_d,tar,c,s,humidity,ash,s05,s05_335,s335,factory,trailer,time_1,location
Graphite00-190,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-191,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-192,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-193,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-194,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-195,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-196,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-197,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-198,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-199,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-200,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-201,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-202,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-203,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-204,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-205,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-206,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-207,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-208,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-209,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-210,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-211,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-212,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-213,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-214,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-215,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-216,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-217,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-218,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-219,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-220,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-221,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-222,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-223,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-224,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-225,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-226,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-227,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-228,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-229,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-230,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-231,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-232,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-233,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-234,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-235,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-236,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-237,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-238,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-239,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-240,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-241,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-242,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-243,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-244,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-245,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-246,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-247,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-248,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-249,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-250,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-251,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-252,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-253,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-254,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-255,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-256,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-257,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-258,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-259,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-260,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-261,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-262,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-263,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-264,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-265,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-266,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-267,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-268,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-269,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-270,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-271,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-272,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-273,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-274,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-275,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-276,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-277,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-278,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-279,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-280,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-281,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-282,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-283,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-284,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-285,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-286,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-287,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-288,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-289,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-290,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-291,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-292,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-293,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-294,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-295,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-296,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-297,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-298,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-299,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-300,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-301,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-302,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-303,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-304,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-305,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-306,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-307,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-308,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-309,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-310,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-311,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-312,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-313,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-314,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-315,,0,0,0,0,0,0,0,0,,,  /  /,
