sample_no,tar,cao,mgo,s0_5,s5_335,s335,s0_95,s95_508,s508,factory
LIM99-04-ARD,990103,87.8,1.2,0,0,0,0,0,0,Hamyaran
LIM99-10-ARD,990104,95.4,1.2,2.8,1.4,4.3,9.3,7.9,74.3,Hamyaran
LIM99-15-ARD,990105,94.5,1.2,0,0,0,0,0,0,Hamyaran
LIM99-17-ARD,990106,94,1.6,2.2,5.7,7.1,10,7.1,67.9,Hamyaran
LIM99-18-ARD,990106,92.2,2,0,0,0,0,0,0,Hamyaran
LIM99-21-ARD,990107,93.5,1.6,0.7,1.4,3.6,7.9,6.4,80,Hamyaran
LIM99-26-ARD,990108,96.2,1.2,0,0,0,0,0,0,Hamyaran
LIM99-32-ARD,990109,92.3,1.6,1.4,2.9,5,8.6,5.7,76.4,Hamyaran
LIM99-43-S-ARD,990113,95.6,0.8,0,0,0,0,0,0,Hamyaran
LIM99-54-ARD,990116,95.6,1.6,2.9,2.9,5,7.1,5.7,76.4,Hamyaran
LIM99-56-ARD,990117,94.6,0.8,1.4,3.6,7.1,17.9,12.9,57.1,Hamyaran
LIM99-57-ARD,990118,88.6,1.2,1.4,2.1,8.6,20.7,12.9,54.3,Hamyaran
LIM99-58-ARD,990118,89.9,1.2,0,0,0,0,0,0,Hamyaran
LIM99-65-ARD,990123,88.7,1.6,2.1,1.4,7.9,10.7,8.6,69.3,Hamyaran
LIM99-67-ARD,990124,93.6,1.2,0.7,0.7,1.5,5,5,87.1,Hamyaran
LIM99-70-ARD,990125,93.9,1.2,2.8,4.3,8.6,13.6,8.6,62.1,Hamyaran
LIM99-72-ARD,990126,96.7,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-73-ARD,990127,93,1.2,0,0,0,0,0,0,Hamyaran
LIM99-75-ARD,990128,94.4,1.2,2.2,1.4,2.1,4.3,14.3,75.7,Hamyaran
LIM99-78-ARD,990129,91.1,0.8,0,0,0,0,0,0,Hamyaran
LIM99-79-ARD,990130,95.2,0.8,1.5,2.1,5,9.3,10,72.1,Hamyaran
LIM99-82-ARD,990131,89.9,1.6,2.1,2.9,9.3,10,6.4,69.3,Hamyaran
