tar,heat_no,cao,feo,sio2,mgo,al2o3,p2o5,mno,b2,b3,b4
960920,961317,34.2,29.5,21.9,8.6,4,0.785,0.113,1.562,0,1.653
960920,961318,33.8,29.4,21.9,8,3.8,0.812,0.108,1.543,0,1.626
960920,961320,30.5,41.3,15.8,6,2.7,0.076,0.087,1.93,0,1.973
960922,961330,39.2,23.8,21,8.2,4.1,1.25,0.12,1.867,0,1.888
960922,961340,39.5,27.7,19.1,6.7,3.6,0.92,0.07,2.068,0,2.035
960922,961351,33.6,29.7,19.7,12.7,4,0.41,0.14,1.706,0,1.954
960926,961380,41.3,28.1,19.1,6.2,3.6,0.776,0.059,2.162,0,2.093
960926,961385,36.8,35.1,16.6,4.9,3.1,0.324,0.061,2.217,0,2.117
960928,961405,32,34.8,18.4,10.6,3.6,0.299,0.137,1.74,0,1.94
960928,961410,37.5,29.7,17.9,7.3,3.5,0.715,0.057,2.1,0,2.1
960929,961415,32.3,37.2,17,5.4,3.1,0.296,0.076,1.9,0,1.88
960929,961420,31.5,36.5,18.2,6.1,3.3,0.402,0.08,1.73,0,1.74
961009,961450,37.3,21.9,22,12.9,4.7,0.616,0.192,1.7,0,1.89
961009,961455,32.4,25.6,22.2,13.4,4.2,0.566,0.166,1.46,0,1.74
961009,961460,32.4,29.3,20.4,12.5,4,0.43,0.144,1.59,0,1.84
961009,961465,32.5,26.1,21.7,13.7,4.1,0.524,0.15,1.5,0,1.79
961010,961470,31.5,27.8,21.5,13.4,4.1,0.475,0.162,1.46,0,1.83
961010,961475,28.7,34.5,20.8,11,3.7,0.311,0.148,1.38,0,1.62
961010,961480,30.2,33.3,19.4,12.1,3.8,0.214,0.346,1.56,0,1.83
961014,961495,32.4,24.2,23.6,13.9,4.4,0.66,0.148,1.37,0,1.65
961014,961500,31.6,29.4,21,13.2,4.1,0.435,0.223,1.5,0,1.78
961016,961505,29.9,37.8,18.9,6.5,3.1,0.304,0.113,1.59,0,1.66
961016,961510,27.9,41.8,18.1,4.8,2.9,0.121,0.099,1.54,0,1.56
961016,961515,31.3,37.8,17,7.4,3,0.088,0.319,1.84,0,1.93
961016,961520,33.8,34.7,19.9,4.7,3.4,0.515,0.078,1.7,0,1.66
961017,961525,30.8,40.3,17.3,3.5,2.7,0.167,0.065,1.78,0,1.71
