tar,c,s,humidity,s05,s05_335,s335
14020915,80.5,1.33,0.0,5.33,93.33,1.33
14020918,80.45,1.25,0.0,3.0,93.5,3.5
14020920,98.65,0.21,0.0,1.0,99.0,0.0
14021009,80.4,1.35,0.0,5.0,93.5,1.5
14021012,81.1,1.1,0.0,4.0,94.0,2.0
14021014,80.6,1.3,0.0,4.33,94.33,1.33
14021016,80.3,1.4,0.0,4.0,93.0,3.0
14021017,80.25,1.02,0.0,3.5,94.25,2.25
14021018,80.72,1.18,0.0,3.75,91.5,4.75
14021019,80.35,1.0,0.0,5.0,91.5,3.5
14021020,76.91,1.47,0.0,3.86,94.71,1.43
14021021,81.5,1.02,0.0,4.0,92.0,4.0
14021022,98.68,0.25,0.0,1.0,99.0,0.0
14021023,96.61,0.34,0.0,1.47,98.18,0.35
14021024,80.73,1.0,0.0,3.67,93.0,3.33
14021025,91.53,0.6,0.0,2.1,96.7,1.2
14021026,80.73,1.3,0.0,3.67,93.0,3.33
14021027,80.07,1.37,0.0,2.33,92.67,5.0
14021028,80.87,1.14,0.0,3.71,93.14,3.14
14021030,80.44,1.25,0.0,4.12,93.5,2.38
14021101,80.1,1.3,0.0,4.0,94.0,2.0
14021103,80.7,1.37,0.0,2.0,93.0,5.0
14021104,82.07,1.23,0.0,4.33,93.0,2.67
14021116,80.67,1.37,0.0,3.29,93.0,3.71
14021118,80.2,1.4,0.0,2.67,92.67,4.67
14021121,80.76,1.29,0.0,4.14,93.57,2.29
14021123,97.41,0.48,0.0,1.0,99.0,0.0
14021125,80.23,1.23,0.0,3.56,93.11,3.33
14021128,80.0,1.3,0.0,4.0,93.0,3.0
14021201,98.69,0.22,0.0,1.0,99.0,0.0
14021202,98.51,0.29,0.0,1.0,99.0,0.0
14021203,98.64,0.26,0.0,1.0,99.0,0.0
14021204,98.59,0.28,0.0,1.0,99.0,0.0
14021205,98.62,0.29,0.0,1.0,99.0,0.0
14021208,98.5,0.3,0.0,1.0,99.0,0.0
14021209,98.63,0.27,0.0,1.0,99.0,0.0
14021218,98.45,0.4,0.0,3.0,97.0,0.0
14021221,80.1,1.4,0.0,0.0,94.0,6.0
14021222,75.47,1.83,0.0,4.0,91.67,4.33
14030106,81.5,1.5,0.8,2.0,97.0,1.0
14030107,80.0,1.5,5.3,2.0,97.0,1.0
14030108,80.15,1.5,0.75,2.0,97.0,1.0
14030109,80.7,1.5,3.0,2.0,97.0,1.0
14030110,80.2,1.5,0.6,2.0,97.0,1.0
14030111,96.35,0.9,0.0,4.0,96.0,0.0
14030114,96.35,0.8,0.0,5.0,95.0,0.0
14030115,86.03,1.27,0.73,3.0,96.33,0.67
14030116,80.5,1.42,0.8,2.0,97.0,1.0
14030118,97.05,0.85,0.0,1.5,97.5,1.0
14030119,94.14,0.98,0.58,1.6,97.4,1.0
14030120,87.22,1.22,0.1,1.8,97.4,0.8
14030121,87.26,1.09,0.0,2.1,97.4,0.5
14030123,79.3,1.0,0.0,3.5,96.5,0.0
14030124,80.2,1.1,0.0,3.0,97.0,0.0
14030125,85.52,1.04,0.0,2.6,97.07,0.33
14030126,80.46,0.92,0.0,2.62,97.25,0.12
14030127,80.1,1.45,0.0,2.0,97.0,1.0
14030128,80.4,1.4,0.0,2.0,97.0,1.0
14030129,89.41,1.01,0.0,2.36,97.09,0.55
14030130,81.42,0.97,0.0,2.7,96.6,0.7
14030201,86.36,1.05,0.0,2.27,97.09,0.64
14030202,84.25,1.19,0.0,2.38,97.0,0.62
14030203,80.16,1.39,0.0,2.11,97.11,0.78
14030204,86.33,1.17,0.0,2.18,97.09,0.73
14030205,85.93,1.23,0.0,2.17,97.0,0.83
14030206,80.65,1.34,0.0,2.25,97.0,0.75
14030207,82.4,1.3,0.0,2.0,98.0,0.0
