tar,c (CokeFine),s (CokeFine),s05 (CokeFine),CokeFine_labels
14020915,80.5,1.33,5.33,1
14020918,80.45,1.25,3.0,1
14020920,98.65,0.21,1.0,0
14021009,80.4,1.35,5.0,1
14021012,81.1,1.1,4.0,1
14021014,80.6,1.3,4.33,1
14021016,80.3,1.4,4.0,1
14021017,80.25,1.02,3.5,1
14021018,80.72,1.18,3.75,1
14021019,80.35,1.0,5.0,1
14021020,76.91,1.47,3.86,1
14021021,81.5,1.02,4.0,1
14021022,98.68,0.25,1.0,0
14021023,96.61,0.34,1.47,0
14021024,80.73,1.0,3.67,1
14021025,91.53,0.6,2.1,0
14021026,80.73,1.3,3.67,1
14021027,80.07,1.37,2.33,1
14021028,80.87,1.14,3.71,1
14021030,80.44,1.25,4.12,1
14021101,80.1,1.3,4.0,1
14021103,80.7,1.37,2.0,1
14021104,82.07,1.23,4.33,1
14021116,80.67,1.37,3.29,1
14021118,80.2,1.4,2.67,1
14021121,80.76,1.29,4.14,1
14021123,97.41,0.48,1.0,0
14021125,80.23,1.23,3.56,1
14021128,80.0,1.3,4.0,1
14021201,98.69,0.22,1.0,0
14021202,98.51,0.29,1.0,0
14021203,98.64,0.26,1.0,0
14021204,98.59,0.28,1.0,0
14021205,98.62,0.29,1.0,0
14021208,98.5,0.3,1.0,0
14021209,98.63,0.27,1.0,0
14021218,98.45,0.4,3.0,0
14021221,80.1,1.4,0.0,1
14021222,75.47,1.83,4.0,1
14030106,81.5,1.5,2.0,1
14030107,80.0,1.5,2.0,1
14030108,80.15,1.5,2.0,1
14030109,80.7,1.5,2.0,1
14030110,80.2,1.5,2.0,1
14030111,96.35,0.9,4.0,0
14030114,96.35,0.8,5.0,0
14030115,86.03,1.27,3.0,1
14030116,80.5,1.42,2.0,1
14030118,97.05,0.85,1.5,0
14030119,94.14,0.98,1.6,0
14030120,87.22,1.22,1.8,1
14030121,87.26,1.09,2.1,1
14030123,79.3,1.0,3.5,1
14030124,80.2,1.1,3.0,1
14030125,85.52,1.04,2.6,1
14030126,80.46,0.92,2.62,1
14030127,80.1,1.45,2.0,1
14030128,80.4,1.4,2.0,1
14030129,89.41,1.01,2.36,1
14030130,81.42,0.97,2.7,1
14030201,86.36,1.05,2.27,1
14030202,84.25,1.19,2.38,1
14030203,80.16,1.39,2.11,1
14030204,86.33,1.17,2.18,1
14030205,85.93,1.23,2.17,1
14030206,80.65,1.34,2.25,1
14030207,82.4,1.3,2.0,1
14030208,97.1,0.8,1.33,0
14030209,83.86,1.3,1.94,1
14030210,79.95,1.3,2.5,1
14030211,92.94,0.99,1.73,0
14030212,88.99,1.15,2.0,1
14030213,80.18,1.5,2.0,1
14030216,90.73,1.01,2.0,1
14030217,80.83,1.13,2.64,1
14030218,80.3,1.25,2.5,1
