tar,cao (Dolomite),mgo (Dolomite),s0_95 (Dolomite),Dolomite_labels
14020915,54.68,33.22,2.5,0
14020916,54.3,34.02,2.25,0
14020917,54.83,34.4,2.33,0
14020918,55.02,33.05,2.0,0
14020919,54.7,32.92,2.5,0
14020920,54.77,33.17,2.67,0
14020921,54.85,32.83,2.75,0
14020922,54.8,33.42,1.5,0
14020923,54.9,33.4,2.33,0
14020924,54.83,33.3,2.33,0
14020925,54.8,33.55,3.0,1
14020927,55.0,33.42,1.5,0
14020928,54.83,33.2,2.33,0
14020929,54.6,33.13,1.67,0
14020930,55.0,32.33,1.5,0
14021001,54.67,33.1,2.0,0
14021002,54.7,33.25,1.75,0
14021003,54.43,33.6,4.0,1
14021005,54.33,33.53,1.67,0
14021006,55.02,33.55,1.75,0
14021007,54.5,32.97,2.0,0
14021008,54.57,33.17,2.0,0
14021009,54.17,33.13,2.33,0
14021010,54.6,33.55,3.5,1
14021011,54.4,32.6,2.0,0
14021012,54.75,32.45,1.5,0
14021013,54.3,32.8,2.33,0
14021014,54.1,33.6,3.5,1
14021015,54.9,34.6,3.0,1
14021016,54.9,34.6,2.0,0
14021017,55.4,34.5,2.0,0
14021018,54.45,33.3,3.5,1
14021019,54.7,34.0,3.0,1
14021020,54.1,34.8,4.0,1
14021021,54.5,33.3,2.5,0
14021022,54.6,34.0,3.0,1
14021023,54.45,33.05,3.5,1
14021025,54.7,33.6,3.0,1
14021026,54.5,33.25,3.5,1
14021027,55.2,34.0,3.0,1
14021028,55.3,34.0,2.0,0
14021101,54.2,34.5,4.0,1
14021102,55.1,33.5,3.0,1
14021103,54.8,33.7,3.0,1
14021104,54.7,33.7,4.0,1
14021105,54.6,34.0,4.0,1
14021107,54.75,33.25,3.5,1
14021108,54.8,33.35,3.0,1
14021109,54.1,32.4,4.0,1
14021110,54.17,32.57,1.33,0
14021111,55.4,33.7,2.0,0
14021112,54.67,32.97,2.33,0
14021113,54.63,33.03,2.33,0
14021114,54.63,33.33,2.33,0
14021115,54.83,32.97,1.67,0
14021116,54.67,33.23,2.0,0
14021117,54.65,32.2,1.5,0
14021118,54.95,33.3,1.75,0
14021119,54.75,32.45,2.0,0
14021120,54.65,32.4,2.0,0
14021121,54.8,33.03,2.33,0
14021122,54.4,32.65,1.5,0
14021123,54.65,32.55,2.0,0
14021124,54.83,33.1,1.67,0
14021125,54.4,32.6,1.5,0
14021126,54.63,33.2,2.33,0
14021127,54.9,33.0,3.0,0
14021128,54.1,33.25,3.5,1
14021129,54.27,32.8,2.67,0
14021130,54.1,33.07,2.33,0
14021201,54.17,33.13,2.33,0
14021202,54.1,33.2,2.0,0
14021203,54.45,32.8,1.0,0
14021204,54.9,32.55,2.5,0
14021205,54.7,32.83,2.67,0
14021209,54.3,32.35,1.0,0
14021211,54.4,32.65,2.0,0
14021212,54.2,32.25,1.5,0
14021213,54.03,32.37,1.33,0
14021214,54.87,32.4,2.67,0
14021215,54.5,32.3,4.0,1
14021216,54.43,32.8,2.33,0
14021217,55.3,32.8,3.0,0
14021219,55.1,33.1,4.0,1
14021220,54.8,33.3,4.0,1
14021222,55.1,33.1,3.0,0
