tar,heat_no,type_dri,fe_metal,fe_total,md,c,s,cao,sio2,mgo,al2o3,p,mno,gunge,feo,dqi,feo_c
14020915,4024682,HOT,78.9,86.8,90.9,1.8,0.003,0.92,4.89,0.75,0.94,0.101,0.04,9.137,10.163,-1699025.5,5.646
14020915,4024682,COLD,82.7,87.6,94.4,1.6,0.003,0.92,5.17,0.74,0.96,0.095,0.039,9.3962,6.3038,-1828804.6,3.94
14020915,4020000,COLD,81.5,87.0,93.7,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.7244,7.0756,78139.84,4.162
14020915,4024688,HOT,79.9,86.7,92.2,1.4,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.9519,8.7481,87031.337,6.249
14020915,4024688,COLD,83.2,88.0,94.5,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.1249,6.1751,63000.708,4.117
14020915,4024642,HOT,77.8,86.3,90.2,1.4,0.003,0.9,4.71,0.77,0.89,0.106,0.036,9.865,10.935,-1627235.3,7.811
14020915,4024642,COLD,82.6,87.7,94.2,1.9,0.003,0.91,5.5,0.86,1.01,0.097,0.039,8.9389,6.5611,-1947376,3.453
14020916,4024705,HOT,78.6,87.4,89.9,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.479,11.321,94126.387,7.076
14020916,4024705,COLD,81.4,87.8,92.7,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.5665,8.2335,77114.663,4.574
14020917,4024714,HOT,75.4,85.6,88.1,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.678,13.122,119498.046,7.29
14020917,4024714,COLD,80.8,86.7,93.2,2.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.6098,7.5902,85073.992,3.795
14020917,4020000,COLD,83.6,88.5,94.5,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.2962,6.3038,61840.735,3.502
