tar,fe_metal (DRI),fe_total (DRI),md (DRI),c (DRI),gunge (DRI),feo (DRI),Dri_labels
14020915,82.5,87.58,94.2,1.68,9.3,6.53,0
14020916,81.4,87.8,92.7,1.8,8.57,8.23,0
14020917,81.55,87.4,93.3,1.88,9.05,7.53,0
14020918,79.8,86.7,92.03,1.5,9.82,8.88,1
14020919,80.75,87.45,92.3,1.65,8.98,8.62,0
14020920,81.43,87.7,92.83,1.97,8.54,8.06,0
14020921,81.6,87.65,93.1,1.85,8.77,7.78,0
14020924,79.6,85.63,92.93,1.57,11.07,7.76,1
14020925,82.2,86.9,94.6,1.6,10.15,6.05,1
14020926,79.97,85.8,93.2,1.65,10.88,7.49,1
14020927,81.87,86.73,94.4,1.93,9.94,6.26,1
14020928,80.4,86.23,93.2,1.77,10.33,7.5,1
14020929,82.15,87.45,93.95,1.9,9.13,6.82,0
14020930,81.4,86.6,94.0,1.5,10.41,6.69,1
14021001,80.63,87.3,92.37,0.0,10.79,8.58,0
14021002,81.57,87.62,93.1,1.62,9.02,7.78,0
14021003,81.42,87.22,93.32,1.88,9.24,7.46,0
14021004,80.7,87.55,92.2,1.65,8.84,8.81,0
14021005,80.95,86.88,93.18,1.78,9.65,7.62,1
14021006,81.16,86.9,93.38,1.78,9.68,7.38,1
14021007,80.77,86.8,93.07,1.9,9.57,7.76,1
14021008,81.53,87.3,93.4,2.0,9.05,7.42,0
14021009,80.67,87.27,92.43,1.87,8.98,8.49,0
14021010,82.0,87.27,93.93,1.8,9.42,6.78,0
14021011,81.97,87.33,93.87,1.83,9.3,6.9,0
14021012,81.7,87.48,93.4,1.8,9.07,7.43,0
14021013,82.2,87.45,93.95,1.7,9.35,6.75,0
14021014,82.0,87.57,93.67,1.7,9.14,7.16,0
14021015,82.2,87.8,93.62,1.72,8.87,7.2,0
14021016,81.47,88.03,92.53,1.77,8.32,8.45,0
14021017,80.27,87.43,91.83,1.6,8.91,9.22,0
14021018,82.33,87.5,94.07,1.67,9.35,6.65,0
14021019,80.13,87.03,92.07,1.63,9.36,8.88,0
14021020,81.53,87.7,92.93,1.7,8.83,7.93,0
14021021,79.03,86.7,91.17,1.8,9.3,9.86,1
14021022,80.42,87.14,92.3,1.64,9.29,8.65,0
14021023,80.6,87.3,92.32,1.7,9.08,8.62,0
14021024,80.35,86.95,92.4,1.8,9.36,8.49,0
14021025,80.83,86.43,93.5,1.87,10.1,7.2,1
14021026,79.13,86.47,91.53,1.57,9.87,9.43,1
14021027,80.93,87.23,92.77,1.7,9.26,8.1,0
14021028,80.63,87.0,92.67,1.9,9.28,8.19,0
14021029,80.9,87.0,93.0,1.93,9.32,7.85,1
14021030,82.0,87.36,93.84,1.8,9.3,6.9,0
14021101,80.3,86.8,92.5,1.8,9.54,8.36,0
14021102,82.1,88.05,93.25,1.8,8.45,7.65,0
14021103,81.77,87.77,93.13,1.8,8.71,7.72,0
14021104,81.55,87.35,93.35,1.8,9.19,7.46,0
14021105,81.55,87.65,93.05,1.8,8.8,7.85,0
14021106,81.6,87.2,93.57,1.8,9.4,7.2,0
14021107,81.77,87.6,93.37,1.87,8.86,7.5,0
14021108,81.42,87.5,93.04,1.72,9.04,7.82,0
14021109,81.27,87.17,93.2,1.83,9.31,7.59,0
14021110,81.7,87.73,93.13,1.53,9.0,7.76,0
14021111,79.85,87.35,91.42,1.68,8.83,9.65,0
14021112,81.97,88.13,93.0,1.8,8.3,7.93,0
14021113,81.7,87.97,92.87,1.77,8.47,8.06,0
14021114,80.9,87.37,92.6,1.73,9.05,8.32,0
14021115,78.97,87.0,90.77,1.67,9.03,10.34,1
14021116,79.7,87.1,91.47,1.77,9.01,9.52,0
14021117,79.03,86.83,91.03,1.83,9.1,10.03,1
14021118,80.7,87.07,92.67,1.8,9.31,8.19,0
14021119,81.2,87.5,92.8,1.95,8.75,8.1,0
14021120,80.86,87.31,92.6,1.86,8.98,8.31,0
14021121,80.17,86.9,92.27,1.57,9.6,8.66,0
14021122,81.25,87.5,92.85,1.7,9.01,8.04,0
14021123,78.93,86.57,91.2,1.7,9.55,9.82,1
14021124,80.07,87.2,91.82,1.72,9.03,9.17,0
14021129,80.23,87.58,91.6,1.65,8.66,9.46,0
14021130,78.65,88.2,89.2,1.65,7.41,12.29,1
14021201,79.5,86.72,91.7,1.7,9.52,9.28,1
14021202,79.9,86.88,91.95,1.78,9.35,8.97,0
14021203,80.4,87.3,92.13,1.73,8.99,8.88,0
14021204,81.8,87.6,93.4,1.9,8.84,7.46,0
14021205,82.65,87.95,93.95,1.6,8.93,6.82,0
14021206,82.37,88.0,93.6,1.7,8.69,7.25,0
14021207,80.47,86.3,93.22,1.6,10.43,7.49,1
14021208,81.13,86.8,93.47,1.73,9.84,7.29,1
14021209,80.12,86.32,92.8,1.68,10.22,7.98,1
14021210,81.05,86.85,93.3,1.8,9.69,7.46,1
14021211,77.33,84.93,91.03,1.67,11.22,9.78,1
14021212,80.47,87.6,91.83,1.57,8.79,9.18,0
14021213,80.73,87.7,92.03,1.57,8.74,8.96,0
14021214,79.57,86.9,91.57,1.4,9.6,9.43,1
14021215,77.7,86.0,90.3,1.6,10.02,10.68,1
14021216,80.5,86.75,92.8,1.6,9.86,8.04,1
14021217,80.87,87.4,92.53,1.5,9.23,8.4,0
14021218,81.27,87.23,93.17,1.8,9.26,7.68,0
14021219,80.42,86.82,92.64,1.64,9.71,8.23,1
14021220,81.6,87.47,93.3,1.67,9.19,7.55,0
14021221,80.4,87.03,92.37,1.7,9.37,8.53,0
14021222,82.35,88.0,93.6,1.95,8.43,7.27,0
14021223,81.87,87.73,93.3,1.97,8.62,7.55,0
14021224,80.27,86.67,92.6,1.8,9.7,8.23,1
14021225,80.45,87.0,92.5,1.75,9.37,8.43,0
14021226,81.93,87.57,93.57,1.77,9.05,7.25,0
14021227,82.13,87.67,93.7,1.83,8.91,7.12,0
14021228,80.62,87.0,92.65,1.95,9.22,8.2,0
14021229,81.45,87.05,93.6,2.0,9.35,7.2,0
14030101,81.57,87.53,93.2,1.73,9.02,7.68,0
14030102,79.57,86.77,91.7,1.87,9.3,9.26,1
14030103,80.4,86.9,92.55,1.8,9.44,8.36,0
14030104,79.65,87.05,91.5,1.75,9.08,9.52,0
14030105,80.47,86.87,92.63,2.1,9.2,8.23,0
14030106,82.33,87.87,93.7,1.87,8.68,7.12,0
14030107,81.67,87.67,93.13,2.13,8.48,7.72,0
14030108,82.95,88.6,93.65,1.8,7.98,7.27,0
14030109,80.07,87.07,91.93,1.8,9.13,9.01,0
14030110,80.63,87.23,92.43,1.87,9.01,8.49,0
14030111,80.8,87.1,92.8,1.83,9.26,8.1,0
14030112,78.9,86.4,91.3,2.0,9.45,9.65,1
14030113,80.17,87.2,91.93,1.83,8.95,9.05,0
14030114,80.77,86.7,93.13,2.17,9.43,7.63,1
14030115,81.15,87.38,92.9,2.1,8.74,8.01,0
14030116,80.73,87.5,92.27,1.93,8.63,8.71,0
14030117,80.05,86.82,92.18,2.02,9.21,8.72,1
14030118,80.27,86.47,92.83,1.77,9.99,7.98,1
14030119,79.7,86.5,92.15,1.85,9.7,8.75,1
14030120,81.03,86.5,93.67,1.8,10.13,7.03,1
14030121,80.93,86.7,93.33,1.87,9.78,7.42,1
14030122,80.73,86.87,92.93,1.83,9.54,7.89,1
14030123,80.97,87.5,92.53,1.63,8.99,8.4,0
14030124,78.73,85.97,91.57,1.47,10.49,9.31,1
14030125,80.2,86.75,92.45,1.6,9.77,8.43,1
14030126,78.9,85.65,92.1,1.75,10.67,8.68,1
14030127,79.1,86.1,91.9,2.15,9.74,9.01,1
14030128,79.0,86.7,91.15,1.55,9.54,9.91,1
14030129,81.1,87.45,92.7,1.65,9.08,8.17,0
14030130,80.75,87.45,92.35,1.65,8.98,8.62,0
14030131,81.9,87.5,93.6,1.7,9.2,7.2,0
14030201,80.1,87.8,91.2,1.3,8.69,9.91,0
14030202,80.7,86.0,93.8,2.0,10.48,6.82,1
14030203,81.1,87.4,92.8,1.5,9.3,8.1,0
14030204,80.57,87.47,92.13,2.0,8.56,8.88,0
14030205,80.5,86.85,92.7,1.55,9.78,8.17,1
14030206,80.8,88.3,91.5,2.0,7.55,9.65,0
14030207,80.8,87.7,92.15,1.8,8.52,8.88,0
14030208,78.0,86.2,90.5,1.8,9.65,10.55,1
14030209,80.63,86.77,92.9,2.0,9.48,7.89,1
14030210,79.76,86.1,92.62,2.06,10.02,8.16,1
