Heat,c (Coke1030),s (Coke1030),s112 (Coke1030),Coke1030_labels,c (CokeFine),s (CokeFine),s05 (CokeFine),CokeFine_labels,cao (Dolomite),mgo (Dolomite),s0_95 (Dolomite),s95_385 (Dolomite),s385_1000 (Dolomite),Dolomite_labels,fe_metal (DRI),fe_total (DRI),md (DRI),c (DRI),gunge (DRI),feo (DRI),feo_c (DRI),Dri_labels,cao (Lime),mgo (Lime),s0_95 (Lime),Lime_labels,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels,Duration (EAF),Power On (EAF),Power Off (EAF),Delays (EAF),DRI [t] (EAF),Ele [MW] (EAF),Tapped [t] (EAF),Tapped [kWh/t] (EAF),O2 [Nm3] (EAF),CH4 [Nm3] (EAF),C.inj [kg] (EAF),Chemical [MWh] (EAF),C [kg] (EAF),CaO [kg] (EAF),MgO [kg] (EAF),Tapping Time [Sec] (EAF),EAF_DRI (EAF),HDRI(T) (EAF)
4024675.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,2.0,65.0,48.0,17.0,12.0,33.19704056,123.7800446,173.3843842,572.1158447,5406.527832,613.8022461,1762.105713,16193.50977,2003.199951,8212.496094,9049.3125,213.0,33197.04297,177.6000061
4024676.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,2.0,68.0,49.0,19.0,14.0,14.92873955,120.6573257,174.9360504,564.9976807,5556.615234,630.1734009,1799.0,16641.32031,2004.900024,9077.881836,9099.219727,294.0,14928.73828,199.8000031
4024677.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,2.0,66.0,47.0,18.0,13.0,45.20483017,121.9411011,172.9380798,563.3079224,5474.050293,621.7420044,1709.296265,16396.4707,2002.699951,8128.681152,9069.806641,208.0,45204.82813,170.0
4024678.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,2.0,62.0,52.0,9.0,4.0,41.05184174,121.3981552,177.9999847,598.6550903,6058.889648,689.4729614,1913.888916,18151.63086,2004.000122,8915.174805,10751.17578,251.0,41051.84375,183.5
4024681.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,2.0,58.0,48.0,9.0,4.0,32.99082947,118.106636,181.0374298,524.4474487,5615.665039,643.6116333,2254.976563,16835.67969,2000.599976,8687.293945,8697.208984,195.0,32990.82422,173.5
4024689.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25,2.0,70.0,52.0,18.0,13.0,34.7834816,114.6291733,179.3731384,557.7523804,5585.601074,727.9995117,1924.0,16973.92969,2002.5,9569.194336,9365.087891,229.0,34783.48438,178.8000031
4024690.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2.0,69.0,55.0,14.0,9.0,38.93648148,115.4869156,181.2798767,588.9304199,5817.476074,670.1982422,2237.0,17449.71094,2008.800049,9904.50293,10043.07129,210.0,38936.48438,176.7001038
4024691.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2.0,61.0,53.0,7.0,2.0,54.23889923,118.536911,172.1346436,615.3665771,5627.817871,735.2167358,2290.0,17106.66992,2002.800171,10189.29883,10040.9873,186.0,54238.90234,159.5
4024692.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2.0,69.0,56.0,12.0,7.0,71.70713806,119.0225906,176.1116486,631.9066772,6037.740234,694.8108521,2361.999023,18108.41016,2001.100098,10037.70508,10359.56641,183.0,71707.14063,148.3999939
4024693.0,83.47,0.93,2.67,0.0,80.5,1.33,5.33,1.0,54.68,33.22,2.5,72.5,0.0,1.0,82.5,87.58,94.2,1.68,9.3,6.53,3.92,0.0,90.7,1.28,2.4,1.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2.0,60.0,53.0,6.0,1.0,66.39691162,119.0666885,176.8136444,597.4573364,5663.742676,740.3276367,2403.0,17216.96094,2005.799927,9928.412109,9916.467773,187.0,66396.90625,154.6000977
