Heat,Coke_1030_Label,Coke_fine_Label,dolo_Label,dri_Label,lime_Label,Slag_Label,Duration,Power On,Power Off,Delays,DRI [t],Ele [kWh],Ele [kWh/t],Ele [MW],Tapped [t],Tapped [kWh/t],Last Temp [C],Last Temp [kWh/t],O2 [Nm3],CH4 [Nm3],C.inj [kg],Chemical [MWh],C [kg],CaO [kg],MgO [kg],Tapping Time [Sec],EAF_DRI,HDRI(T),First C,First Temp
4024675.0,1,1,1,0,1,0,65.0,48.0,17.0,12.0,33.19704056,99195.95313,1890.813477,123.7800446,173.3843842,572.1158447,1618.699951,1072.828369,5406.527832,613.8022461,1762.105713,16193.50977,2003.199951,8212.496094,9049.3125,213.0,33197.04297,177.6000061,0.099496,1556.300049
4024676.0,1,1,1,0,1,0,68.0,49.0,19.0,14.0,14.92873955,98838.46094,2815.049316,120.6573257,174.9360504,564.9976807,1586.599976,1299.179199,5556.615234,630.1734009,1799.0,16641.32031,2004.900024,9077.881836,9099.219727,294.0,14928.73828,199.8000031,0.079626001,1612.099976
4024677.0,1,1,1,0,1,0,66.0,47.0,18.0,13.0,45.20483017,97417.39063,1512.551025,121.9411011,172.9380798,563.3079224,1597.300049,1057.264771,5474.050293,621.7420044,1709.296265,16396.4707,2002.699951,8128.681152,9069.806641,208.0,45204.82813,170.0,0.097005002,1597.300049
4024678.0,1,1,1,0,1,0,62.0,52.0,9.0,4.0,41.05184174,106560.6016,1698.92981,121.3981552,177.9999847,598.6550903,1589.0,1020.625854,6058.889648,689.4729614,1913.888916,18151.63086,2004.000122,8915.174805,10751.17578,251.0,41051.84375,183.5,0.085864,1515.800049
4024681.0,1,1,1,0,1,0,58.0,48.0,9.0,4.0,32.99082947,94944.60938,1812.752686,118.106636,181.0374298,524.4474487,1621.5,1031.275269,5615.665039,643.6116333,2254.976563,16835.67969,2000.599976,8687.293945,8697.208984,195.0,32990.82422,173.5,0.125977993,1577.400024
4024689.0,1,1,1,0,1,0,70.0,52.0,18.0,13.0,34.7834816,100045.7969,1795.501221,114.6291733,179.3731384,557.7523804,1579.199951,1032.88501,5585.601074,727.9995117,1924.0,16973.92969,2002.5,9569.194336,9365.087891,229.0,34783.48438,178.8000031,0.121031001,1579.699951
4024690.0,1,1,1,0,1,0,69.0,55.0,14.0,9.0,38.93648148,106761.2344,1753.263916,115.4869156,181.2798767,588.9304199,1601.0,1054.642822,5817.476074,670.1982422,2237.0,17449.71094,2008.800049,9904.50293,10043.07129,210.0,38936.48438,176.7001038,0.122348003,1584.300049
4024691.0,1,1,1,0,1,0,61.0,53.0,7.0,2.0,54.23889923,105925.8984,1385.159424,118.536911,172.1346436,615.3665771,1600.800049,893.2591553,5627.817871,735.2167358,2290.0,17106.66992,2002.800171,10189.29883,10040.9873,186.0,54238.90234,159.5,0.112830997,1616.199951
4024692.0,1,1,1,0,1,0,69.0,56.0,12.0,7.0,71.70713806,111286.125,1182.567627,119.0225906,176.1116486,631.9066772,1596.300049,825.9098511,6037.740234,694.8108521,2361.999023,18108.41016,2001.100098,10037.70508,10359.56641,183.0,71707.14063,148.3999939,0.123942003,1556.400024
4024693.0,1,1,1,0,1,0,60.0,53.0,6.0,1.0,66.39691162,105638.6094,1197.070801,119.0666885,176.8136444,597.4573364,1616.599976,823.708313,5663.742676,740.3276367,2403.0,17216.96094,2005.799927,9928.412109,9916.467773,187.0,66396.90625,154.6000977,0.086799003,1638.300049
4024696.0,1,1,1,1,1,0,69.0,51.0,17.0,12.0,46.91651917,107384.7266,1552.118164,124.1441956,177.282135,605.7278442,1603.599976,1179.114502,4971.564941,546.1386719,1779.888916,14843.19043,2000.199951,10034.50488,10234.69629,396.0,46916.51563,177.2001038,0.229486004,1523.400024
4024698.0,1,1,1,1,1,0,64.0,51.0,13.0,8.0,28.05359077,105202.8203,2135.59668,122.9643326,176.8188629,594.9750977,1608.599976,1165.612915,4719.58252,519.2165527,2262.0,14092.83008,2005.0,9822.386719,9380.583984,213.0,28053.59375,183.8999939,0.101568997,1515.300049
4024699.0,1,1,1,1,1,0,60.0,48.0,11.0,6.0,51.03562164,99860.86719,1394.20459,122.5704498,174.2193756,573.1903687,1614.5,914.9551392,4475.115723,486.1060791,1815.99939,13346.69043,2000.299927,9288.485352,9301.289063,182.0,51035.61719,149.3000031,0.088404,1524.400024
4024701.0,1,1,1,1,1,0,63.0,52.0,10.0,5.0,186.938446,101658.5391,496.5162354,115.2300797,166.1000061,612.0321045,1610.0,401.4217224,5924.656738,670.9003906,1089.0,17740.91016,2001.399902,8837.894531,6965.90625,225.0,186938.4375,0.0,0.065591998,1520.0
4024707.0,1,1,1,1,0,0,61.0,53.0,8.0,3.0,53.12612915,101770.0156,1381.339844,114.6704407,176.9393311,575.1690063,1611.300049,894.1325073,6558.959961,755.9105225,2309.987793,19674.55078,2007.5,8712.394531,9828.830078,305.0,53126.13281,161.1000061,0.139568999,1555.5
4024709.0,1,1,1,1,0,0,60.0,50.0,10.0,5.0,19.61395073,93813.89063,2293.739746,112.5391541,183.4000092,511.5260925,1608.099976,1159.481567,6336.465332,733.1781006,1998.650146,19014.71094,2001.900146,9253.208984,10030.91016,352.0,19613.94531,0.0,0.117123,1587.099976
4024710.0,1,1,1,1,0,1,59.0,50.0,8.0,3.0,17.95985031,93222.39063,2402.568359,109.8888702,183.3999939,508.3009338,1594.199951,1175.956665,6279.65332,722.0391235,1918.653687,18832.35938,2004.499878,9239.103516,9597.688477,300.0,17959.85547,192.1999969,0.098485999,1621.400024
4024711.0,1,1,1,1,0,1,65.0,56.0,8.0,3.0,7.942959785,103724.0078,3285.019775,109.7285995,177.8999939,583.0466919,1591.699951,1437.172119,6172.294922,698.8986816,2111.0,18482.33008,2002.800049,10858.89746,10770.19727,312.0,7942.959473,231.6000061,0.059854001,1671.199951
