tar,cao,mgo,s0_95,s95_508,labels
14020915,90.7,1.28,2.4,57.6,1
14020916,90.6,1.33,2.33,64.33,1
14020917,90.9,1.2,4.0,96.0,0
14020918,90.73,1.2,2.67,64.0,1
14020919,90.6,1.2,3.0,63.67,1
14020920,90.67,1.2,3.33,63.33,1
14020921,90.82,1.4,3.0,72.0,1
14020922,90.8,1.3,3.5,71.5,1
14020923,90.98,1.2,3.75,71.25,1
14020924,90.95,1.2,4.5,95.5,0
14020925,91.23,1.2,4.33,95.67,0
14020927,90.65,1.2,3.75,71.25,1
14020928,91.4,1.2,3.0,63.67,1
14020929,90.52,1.2,2.75,72.25,1
14020930,90.47,1.2,2.33,64.33,1
14021001,92.0,1.2,4.0,96.0,0
14021002,91.08,1.13,3.17,80.17,1
14021003,90.99,1.2,3.2,76.8,1
14021004,91.53,1.07,1.0,32.33,1
14021005,91.12,1.2,4.25,95.75,0
14021006,91.18,1.2,3.5,71.5,1
14021007,90.83,1.2,2.33,64.33,1
14021009,91.22,1.2,2.6,77.4,1
14021010,91.36,1.2,2.4,57.6,1
14021011,91.14,1.2,2.2,57.8,1
14021012,91.13,1.2,2.33,64.33,1
14021013,91.15,1.2,3.0,72.0,1
14021014,91.2,1.2,2.75,72.25,1
14021015,91.4,1.2,4.0,96.0,0
14021016,90.9,1.2,2.6,57.4,1
14021017,90.94,1.2,2.6,57.4,1
14021018,91.15,1.2,2.25,47.75,1
14021019,90.63,1.2,1.33,32.0,1
14021020,91.05,1.2,2.5,47.5,1
14021021,91.25,1.2,2.0,48.0,1
14021023,90.5,1.2,2.0,48.0,1
14021024,90.1,1.2,0.8,19.2,1
14021025,90.22,1.2,1.0,24.0,1
14021026,90.28,1.2,1.0,24.0,1
14021027,90.38,1.2,1.0,24.0,1
14021028,90.35,1.3,1.25,23.75,1
14021030,90.43,1.2,1.33,32.0,1
14021101,90.47,1.2,1.33,32.0,1
14021102,90.4,1.2,1.67,31.67,1
14021103,90.65,1.2,2.5,47.5,1
14021104,91.55,2.43,27.58,72.42,1
14021107,91.21,1.29,24.11,75.89,1
14021108,91.25,1.2,4.0,96.0,0
14021109,90.92,1.2,5.5,94.5,0
14021110,90.75,1.2,4.0,96.0,0
14021111,91.2,1.2,4.0,96.0,0
14021112,90.9,1.2,4.5,95.5,0
14021114,91.8,1.2,3.0,97.0,0
14021115,91.24,1.14,2.14,55.0,1
14021116,91.94,1.12,3.0,77.0,1
14021118,91.7,1.2,4.5,95.5,0
14021119,91.6,1.2,2.67,64.0,1
14021120,91.45,1.2,4.5,95.5,0
14021121,91.5,1.2,4.0,96.0,0
14021122,91.45,1.2,3.0,97.0,0
14021123,91.57,1.2,3.33,96.67,0
14021124,91.3,1.2,4.5,95.5,0
14021125,91.4,1.2,4.75,95.25,0
14021126,91.22,1.2,3.75,96.25,0
14021127,91.6,1.2,4.0,96.0,0
14021128,91.1,1.2,4.33,95.67,0
14021129,91.13,1.2,4.0,96.0,0
14021130,91.53,1.2,4.0,96.0,0
14021201,91.45,1.2,3.5,96.5,0
14021202,91.7,1.2,4.33,95.67,0
14021203,91.22,1.2,4.75,95.25,0
14021204,91.0,1.2,4.0,96.0,0
14021205,90.85,1.2,4.5,95.5,0
14021209,91.48,1.2,4.0,96.0,0
14021211,91.1,1.2,3.0,97.0,0
14021212,91.12,1.2,3.0,72.0,1
14021213,91.6,1.2,3.0,97.0,0
14021214,91.5,1.2,4.0,96.0,0
14021215,91.15,1.2,4.5,95.5,0
14021216,91.1,1.2,2.0,64.67,1
14021217,91.22,1.2,11.0,64.0,1
14021218,91.0,1.2,4.0,96.0,0
14021219,91.0,1.2,4.5,95.5,0
14021220,91.2,1.2,4.0,96.0,0
14021222,91.3,1.2,4.33,95.67,0
14021223,91.25,1.2,2.67,64.0,1
14021224,90.88,1.3,4.75,70.25,1
14021225,91.0,1.2,5.0,95.0,0
14021226,90.98,1.2,4.4,95.6,0
14021227,91.1,1.2,3.6,76.4,1
14021228,90.7,1.2,4.0,96.0,0
14021229,90.82,1.2,3.0,72.0,1
14030102,90.9,1.2,5.0,95.0,0
14030104,90.2,1.6,3.0,97.0,0
14030105,90.78,1.2,2.0,48.0,1
14030106,91.18,1.2,2.25,47.75,1
14030107,91.0,1.2,2.83,63.83,1
14030108,90.2,1.2,2.4,57.6,1
14030109,90.46,1.2,2.14,55.0,1
14030110,90.9,1.2,4.0,96.0,0
14030111,90.5,1.2,3.2,76.8,1
14030112,91.0,1.2,5.0,95.0,0
14030114,90.83,1.2,4.33,95.67,0
14030115,90.22,1.2,3.6,76.4,1
14030116,90.65,1.2,2.5,47.5,1
14030117,90.95,1.2,3.5,96.5,0
14030118,90.74,1.2,1.8,38.2,1
14030119,91.04,1.12,2.8,57.2,1
14030120,90.75,1.2,2.83,63.83,1
14030121,90.74,1.2,3.4,76.6,1
14030122,90.55,1.2,2.0,48.0,1
14030123,90.67,1.2,2.33,64.33,1
14030124,90.3,1.2,3.0,97.0,0
14030125,90.93,1.2,2.57,54.57,1
14030126,91.15,1.2,2.33,47.67,1
14030127,90.88,1.2,3.75,96.25,0
14030129,90.6,1.2,2.4,57.6,1
14030130,91.41,1.43,2.29,54.86,1
14030131,90.6,1.6,3.5,96.5,0
14030202,91.78,1.27,2.67,64.0,1
14030203,92.4,1.2,2.0,48.0,1
14030204,92.28,1.2,1.83,48.17,1
14030205,91.95,1.2,2.25,47.75,1
14030206,92.07,1.2,3.0,63.67,1
14030209,91.65,1.2,4.5,95.5,0
14030210,91.8,1.2,5.0,95.0,0
14030211,91.75,1.2,4.5,95.5,0
