heat_no,tar (Slag),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag)
4024660,14020915,22.5,37.1,20.9,9.5,4.1,0.8,0.177,1.08,0.9,1.28
4024665,14020915,22.6,38.6,19.5,9.6,3.8,0.732,0.173,1.16,0.97,1.38
4024670,14020915,21.8,39.7,19.2,9.7,3.8,0.658,0.183,1.14,0.95,1.37
4024675,14020915,23.1,34.2,22.1,10.4,4.6,0.805,0.181,1.05,0.87,1.25
4024680,14020915,26.9,26.9,24.6,10.8,5.1,0.864,0.201,1.09,0.91,1.27
4024685,14020916,26.2,30.6,22.3,10.7,4.4,0.783,0.214,1.17,0.98,1.38
4024690,14020916,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45
4024695,14020916,22.7,39.3,19.0,9.6,4.1,0.756,0.178,1.19,0.98,1.4
4024700,14020916,25.6,33.3,21.3,9.7,4.5,0.852,0.185,1.2,0.99,1.37
4024710,14020917,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29
4024715,14020917,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27
4024720,14020918,32.1,16.8,27.7,12.1,5.5,0.743,0.195,1.16,0.97,1.33
4024725,14020918,33.2,16.0,27.8,12.2,5.1,0.865,0.179,1.19,1.01,1.38
4024730,14020918,27.0,26.9,24.1,11.5,4.9,0.754,0.184,1.12,0.93,1.33
4024735,14020918,26.3,29.3,23.2,10.8,4.7,0.808,0.18,1.13,0.94,1.33
4024739,14020918,24.5,36.2,20.2,9.2,4.0,0.791,0.178,1.21,1.01,1.39
4024740,14020918,26.1,31.7,22.2,9.8,4.5,0.846,0.183,1.18,0.98,1.34
4024741,14020918,30.0,22.3,26.0,10.9,5.1,0.738,0.195,1.15,0.96,1.32
4024742,14020918,27.0,26.4,24.8,11.0,5.0,0.715,0.19,1.09,0.91,1.28
4024745,14020919,26.2,29.7,23.1,10.5,4.7,0.776,0.18,1.13,0.94,1.32
4024770,14020921,27.4,25.0,25.4,10.7,5.7,0.829,0.293,1.08,0.88,1.23
4024780,14020921,30.3,21.1,26.3,11.1,5.6,0.718,0.263,1.15,0.95,1.3
4024783,14020921,29.1,24.6,24.6,11.0,4.9,0.791,0.182,1.18,0.99,1.36
4024785,14020922,28.2,27.1,23.9,10.6,4.9,0.811,0.182,1.18,0.98,1.35
4024789,14020922,26.8,32.4,21.2,9.4,4.2,0.771,0.863,1.26,1.06,1.43
4024790,14020922,29.2,27.0,23.1,10.3,4.8,0.811,0.505,1.26,1.05,1.42
4024792,14020922,26.6,33.0,20.6,9.3,4.3,0.763,0.654,1.29,1.07,1.44
