tar,Coke_1030(c),Coke_1030(s),Coke_1030(humidity),Coke_1030(s112),Coke_1030(s112_315),Coke_1030(s315),Coke_Fine(c),Coke_Fine(s),Coke_Fine(humidity),Coke_Fine(s05),Coke_Fine(s05_335),Coke_Fine(s335),dolomite(cao),dolomite(mgo),dolomite(s0_95),dolomite(s95_385),dolomite(s385_1000),lime(cao),lime(mgo),lime(s0_95),lime(s95_508),dri(fe_metal),dri(fe_total),dri(md),dri(c),dri(cao),dri(sio2),dri(mgo),dri(gunge),dri(feo_c),labels
14020915,83.47,0.93,0.0,2.67,94.33,3.0,80.5,1.33,0.0,5.33,93.33,1.33,54.68,33.22,2.5,72.5,0.0,90.7,1.28,2.4,57.6,82.5,87.58,94.2,1.68,0.46,2.67,0.4,9.3,3.92,0
14020916,83.05,0.9,0.0,2.0,95.0,3.0,84.34,1.08,0.1,2.29,96.54,1.17,54.3,34.02,2.25,72.75,0.0,90.6,1.33,2.33,64.33,81.4,87.8,92.7,1.8,0.0,0.0,0.0,8.57,4.57,1
14020917,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.83,34.4,2.33,64.33,0.0,90.9,1.2,4.0,96.0,81.55,87.4,93.3,1.88,0.0,0.0,0.0,9.05,4.08,1
14020918,81.69,1.22,0.13,2.14,96.18,1.68,80.45,1.25,0.0,3.0,93.5,3.5,55.02,33.05,2.0,48.0,0.0,90.73,1.2,2.67,64.0,79.8,86.7,92.03,1.5,0.32,1.71,0.24,9.82,5.95,0
14020919,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.7,32.92,2.5,72.5,0.0,90.6,1.2,3.0,63.67,80.75,87.45,92.3,1.65,0.0,0.0,0.0,8.98,5.25,1
14020920,81.69,1.22,0.13,2.14,96.18,1.68,98.65,0.21,0.0,1.0,99.0,0.0,54.77,33.17,2.67,97.33,0.0,90.67,1.2,3.33,63.33,81.43,87.7,92.83,1.97,0.0,0.0,0.0,8.54,4.12,3
14020921,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.85,32.83,2.75,72.25,0.0,90.82,1.4,3.0,72.0,81.6,87.65,93.1,1.85,0.45,2.53,0.39,8.77,4.19,0
14020922,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.8,33.42,1.5,73.5,0.0,90.8,1.3,3.5,71.5,80.14,86.72,92.4,1.83,0.24,1.31,0.22,9.56,4.58,0
14020923,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.9,33.4,2.33,64.33,0.0,90.98,1.2,3.75,71.25,80.14,86.72,92.4,1.83,0.24,1.31,0.22,9.56,4.58,0
14020924,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.83,33.3,2.33,64.33,0.0,90.95,1.2,4.5,95.5,79.6,85.63,92.93,1.57,0.0,0.0,0.0,11.07,5.04,1
14020925,83.18,0.85,0.0,2.25,94.75,3.0,84.34,1.08,0.1,2.29,96.54,1.17,54.8,33.55,3.0,97.0,0.0,91.23,1.2,4.33,95.67,82.2,86.9,94.6,1.6,0.0,0.0,0.0,10.15,3.78,1
14020926,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,79.97,85.8,93.2,1.65,0.24,1.32,0.18,10.88,4.55,2
14020927,81.27,0.9,0.0,4.67,93.83,1.5,84.34,1.08,0.1,2.29,96.54,1.17,55.0,33.42,1.5,48.5,0.0,90.65,1.2,3.75,71.25,81.87,86.73,94.4,1.93,0.3,1.77,0.24,9.94,3.27,0
14020928,82.0,1.02,0.0,2.5,94.67,2.83,84.34,1.08,0.1,2.29,96.54,1.17,54.83,33.2,2.33,64.33,0.0,91.4,1.2,3.0,63.67,80.4,86.23,93.2,1.77,0.31,1.79,0.29,10.33,4.24,0
14020929,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.6,33.13,1.67,65.0,0.0,90.52,1.2,2.75,72.25,82.15,87.45,93.95,1.9,0.0,0.0,0.0,9.13,3.59,1
14020930,81.64,0.98,0.0,2.6,94.2,3.2,84.34,1.08,0.1,2.29,96.54,1.17,55.0,32.33,1.5,48.5,0.0,90.47,1.2,2.33,64.33,81.4,86.6,94.0,1.5,0.91,5.1,0.77,10.41,4.46,2
14021001,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.67,33.1,2.0,64.67,0.0,92.0,1.2,4.0,96.0,80.63,87.3,92.37,0.0,0.0,0.0,0.0,10.79,0.0,1
14021002,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.7,33.25,1.75,48.25,0.0,91.08,1.13,3.17,80.17,81.57,87.62,93.1,1.62,0.23,1.32,0.16,9.02,4.82,0
14021003,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.43,33.6,4.0,96.0,0.0,90.99,1.2,3.2,76.8,81.42,87.22,93.32,1.88,0.22,1.31,0.22,9.24,4.01,2
14021004,81.93,1.03,0.0,2.0,98.0,0.0,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.53,1.07,1.0,32.33,80.7,87.55,92.2,1.65,0.0,0.0,0.0,8.84,5.36,1
14021005,81.63,1.3,0.0,3.33,96.67,0.0,84.34,1.08,0.1,2.29,96.54,1.17,54.33,33.53,1.67,65.0,0.0,91.12,1.2,4.25,95.75,80.95,86.88,93.18,1.78,0.23,1.18,0.18,9.65,4.32,0
14021006,83.75,0.9,0.0,2.5,97.5,0.0,84.34,1.08,0.1,2.29,96.54,1.17,55.02,33.55,1.75,48.25,0.0,91.18,1.2,3.5,71.5,81.16,86.9,93.38,1.78,0.18,1.03,0.16,9.68,4.16,1
14021007,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.5,32.97,2.0,64.67,0.0,90.83,1.2,2.33,64.33,80.77,86.8,93.07,1.9,0.0,0.0,0.0,9.57,4.18,1
14021008,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.57,33.17,2.0,64.67,0.0,91.33,1.22,3.86,84.26,81.53,87.3,93.4,2.0,0.0,0.0,0.0,9.05,3.77,1
14021009,81.69,1.22,0.13,2.14,96.18,1.68,80.4,1.35,0.0,5.0,93.5,1.5,54.17,33.13,2.33,64.33,0.0,91.22,1.2,2.6,77.4,80.67,87.27,92.43,1.87,0.3,1.57,0.18,8.98,4.67,0
14021010,82.33,0.9,0.0,3.0,97.0,0.0,84.34,1.08,0.1,2.29,96.54,1.17,54.6,33.55,3.5,96.5,0.0,91.36,1.2,2.4,57.6,82.0,87.27,93.93,1.8,0.3,1.71,0.23,9.42,3.79,0
14021011,82.3,0.8,0.0,5.0,95.0,0.0,84.34,1.08,0.1,2.29,96.54,1.17,54.4,32.6,2.0,48.0,0.0,91.14,1.2,2.2,57.8,81.97,87.33,93.87,1.83,0.3,1.73,0.26,9.3,3.79,0
14021012,81.69,1.22,0.13,2.14,96.18,1.68,81.1,1.1,0.0,4.0,94.0,2.0,54.75,32.45,1.5,48.5,0.0,91.13,1.2,2.33,64.33,81.7,87.48,93.4,1.8,0.22,1.25,0.18,9.07,4.14,0
14021013,83.3,0.8,0.0,3.0,97.0,0.0,84.34,1.08,0.1,2.29,96.54,1.17,54.3,32.8,2.33,64.33,0.0,91.15,1.2,3.0,72.0,82.2,87.45,93.95,1.7,0.0,0.0,0.0,9.35,3.97,1
14021014,80.8,1.3,0.0,3.0,97.0,0.0,80.6,1.3,0.0,4.33,94.33,1.33,54.1,33.6,3.5,96.5,0.0,91.2,1.2,2.75,72.25,82.0,87.57,93.67,1.7,0.3,1.9,0.28,9.14,4.19,0
14021015,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.9,34.6,3.0,97.0,0.0,91.4,1.2,4.0,96.0,82.2,87.8,93.62,1.72,0.0,0.0,0.0,8.87,4.25,1
14021016,82.38,0.94,0.0,2.8,97.2,0.0,80.3,1.4,0.0,4.0,93.0,3.0,54.9,34.6,2.0,98.0,0.0,90.9,1.2,2.6,57.4,81.47,88.03,92.53,1.77,0.6,3.49,0.49,8.32,4.98,0
14021017,82.97,1.0,0.0,2.0,98.0,0.0,80.25,1.02,0.0,3.5,94.25,2.25,55.4,34.5,2.0,98.0,0.0,90.94,1.2,2.6,57.4,80.27,87.43,91.83,1.6,0.0,0.0,0.0,8.91,5.82,0
14021018,81.69,1.22,0.13,2.14,96.18,1.68,80.72,1.18,0.0,3.75,91.5,4.75,54.45,33.3,3.5,96.5,0.0,91.15,1.2,2.25,47.75,82.33,87.5,94.07,1.67,0.31,1.87,0.26,9.35,4.04,0
14021019,81.69,1.22,0.13,2.14,96.18,1.68,80.35,1.0,0.0,5.0,91.5,3.5,54.7,34.0,3.0,97.0,0.0,90.63,1.2,1.33,32.0,80.13,87.03,92.07,1.63,0.3,1.83,0.28,9.36,5.47,0
14021020,81.69,1.22,0.13,2.14,96.18,1.68,76.91,1.47,0.0,3.86,94.71,1.43,54.1,34.8,4.0,96.0,0.0,91.05,1.2,2.5,47.5,81.53,87.7,92.93,1.7,0.3,1.62,0.2,8.83,4.79,0
14021021,81.69,1.22,0.13,2.14,96.18,1.68,81.5,1.02,0.0,4.0,92.0,4.0,54.5,33.3,2.5,97.5,0.0,91.25,1.2,2.0,48.0,79.03,86.7,91.17,1.8,0.3,1.67,0.26,9.3,5.48,0
14021022,81.69,1.22,0.13,2.14,96.18,1.68,98.68,0.25,0.0,1.0,99.0,0.0,54.6,34.0,3.0,97.0,0.0,91.33,1.22,3.86,84.26,80.42,87.14,92.3,1.64,0.0,0.0,0.0,9.29,5.29,3
14021023,81.69,1.22,0.13,2.14,96.18,1.68,96.61,0.34,0.0,1.47,98.18,0.35,54.45,33.05,3.5,96.5,0.0,90.5,1.2,2.0,48.0,80.6,87.3,92.32,1.7,0.22,1.39,0.22,9.08,5.07,3
