sample_no,tar,cao,mgo,s0_95,s95_385,s385_1000,factory
DOL99-334-ARD,990401,44.9,32.3,12.1,84.3,3.6,Zareh Shahi (Ardakan)
DOL99-335-ARD,990402,46.5,32.6,12.1,83.6,4.3,Zareh Shahi (Ardakan)
DOL99-336-ARD,990402,47,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-337-ARD,990402,48,32.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-338-ARD,990402,43.7,27.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-341-ARD,990403,51.5,37.4,11.4,84.3,4.3,Zareh Shahi (Ardakan)
DOL99-342-ARD,990403,52.5,35.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-343-ARD,990403,52,35,0,0,0,Zareh Shahi (Ardakan)
DOL99-344-ARD,990403,50.4,37.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-346-ARD,990404,51.8,35.6,7.9,89.3,2.8,Zareh Shahi (Ardakan)
DOL99-348-ARD,990404,56.4,36.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-349-ARD,990404,50.1,36,0,0,0,Zareh Shahi (Ardakan)
DOL99-350-ARD,990404,52.7,33.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-352-ARD,990405,49.1,35.7,10,85,5,Zareh Shahi (Ardakan)
DOL99-353-ARD,990405,52.7,36.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-354-ARD,990405,45.4,31,0,0,0,Zareh Shahi (Ardakan)
DOL99-355-ARD,990405,47,36.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-359-ARD,990407,47.6,30.2,8.6,87.1,4.3,Zareh Shahi (Ardakan)
DOL99-360-ARD,990407,44.7,30.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-361-ARD,990407,46.2,30.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-362-ARD,990407,44.7,30.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-364-ARD,990408,46.7,31.1,10.7,5.7,83.6,Zareh Shahi (Ardakan)
DOL99-365-ARD,990408,44.8,29.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-367-ARD,990409,48.4,31.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-368-ARD,990409,48.3,32.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-369-ARD,990409,51.3,34.4,3.5,92.9,3.6,Zareh Shahi (Ardakan)
DOL99-370-ARD,990410,42.9,28.4,18.6,77.1,4.3,Zareh Shahi (Ardakan)
DOL99-371-ARD,990410,45,30,0,0,0,Zareh Shahi (Ardakan)
DOL99-372-ARD,990410,44.1,28.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-373-ARD,990410,44.9,35.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-374-ARD,990411,50.3,36.2,7.9,91.4,0.7,Zareh Shahi (Ardakan)
DOL99-375-ARD,990411,50.3,34.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-376-ARD,990411,51.6,34.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-377-ARD,990412,53.3,34.3,15.7,82.9,1.4,Zareh Shahi (Ardakan)
DOL99-378-ARD,990412,52.2,33.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-381-ARD,990414,52.3,33.6,87.1,9.3,3.6,Zareh Shahi (Ardakan)
DOL99-382-ARD,990414,47.9,30.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-383-ARD,990414,47,31.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-384-ARD,990414,55.1,30.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-385-ARD,990414,50.1,35.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-386-ARD,990415,53.4,34.4,11.5,87.1,1.4,Zareh Shahi (Ardakan)
DOL99-387-ARD,990415,51.6,33.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-388-ARD,990415,50.3,34.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-389-ARD,990415,52.3,33.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-392-ARD,990416,48,32.9,2.1,95,2.9,Zareh Shahi (Ardakan)
DOL99-393-ARD,990416,49.1,32.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-397-ARD,990416,46.7,31.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-398-ARD,990417,52.4,34.5,12.2,82.1,5.7,Zareh Shahi (Ardakan)
DOL99-410-ARD,990417,52.2,33.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-411-ARD,990417,53.1,34.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-412-ARD,990418,46.5,31,192,77.9,2.9,Zareh Shahi (Ardakan)
DOL99-413-ARD,990418,43.6,28.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-415-ARD,990418,44.7,32.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-416-ARD,990418,45.9,32.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-422-ARD,990419,52.5,30.1,15,82.9,2.1,Zareh Shahi (Ardakan)
DOL99-423-ARD,990419,52.9,31.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-424-ARD,990419,53.9,31.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-345-SIR,990403,55.9,32.1,10,76.4,13.6,Sirjan
DOL99-351-SIR,990404,54.6,30.8,45.7,54.3,0,Sirjan
DOL99-356-SIR,990405,55.8,35.3,61.5,32.1,6.4,Sirjan
DOL99-357-SIR,990406,56.6,34.3,0,0,0,Sirjan
DOL99-363-SIR,990407,58.5,36.1,77.9,22.1,0,Sirjan
DOL99-339-TAB,990402,60.4,31.5,10.7,75.7,13.6,Tabas
DOL99-340-TAB,990403,58.7,36.1,21.4,68.6,10,Tabas
DOL99-347-TAB,990404,58.4,37.2,20,68.6,11.4,Tabas
DOL99-358-TAB,990406,57.8,36.8,23.6,30.7,45.7,Tabas
DOL99-379-TAB,990412,58.2,35.4,14.3,85.7,0,Tabas
DOL99-380-TAB,990413,58.7,35.8,22.8,69.3,7.9,Tabas
DOL99-390-TAB,990415,57.8,36.4,0,0,0,Tabas
DOL99-391-TAB,990415,57,36.1,20,68.6,11.4,Tabas
DOL99-395-TAB,990416,59.7,34.2,16.4,64.3,19.3,Tabas
DOL99-396-TAB,990416,59.1,33.8,0,0,0,Tabas
DOL99-419-TAB,990418,60.9,32.9,15,82.1,2.9,Tabas
DOL99-420-TAB,990418,61.2,32.4,0,0,0,Tabas
DOL99-421-TAB,990419,62,33.4,0,0,0,Tabas
DOL99-429-TAB,990419,60.1,33.6,9.3,78.6,12.1,Tabas
DOL99-430-TAB,990419,56.2,33.9,0,0,0,Tabas
DOL99-431-TAB,990419,57.1,33.8,0,0,0,Tabas
DOL99-399-NAS,990417,57.5,32.6,5.8,77.1,17.1,Nasooz Ekbatan sepahan
DOL99-400-NAS,990417,50.6,34.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-403-NAS,990417,58,32.9,0,0,0,Nasooz Ekbatan sepahan
DOL99-404-NAS,990417,57.9,33.6,21.4,78.6,0,Nasooz Ekbatan sepahan
DOL99-405-NAS,990417,58.8,34.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-406-NAS,990417,56.6,35.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-407-NAS,990417,57.8,33.6,0,0,0,Nasooz Ekbatan sepahan
DOL99-408-NAS,990417,56,35.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-409-NAS,990417,57.2,35.5,0,0,0,Nasooz Ekbatan sepahan
DOL99-417-NAS,990418,51.5,34.6,0,0,0,Nasooz Ekbatan sepahan
DOL99-418-NAS,990418,55.8,36.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-432-NAS,990419,50.1,34.4,12.9,87.1,0,Nasooz Ekbatan sepahan
DOL99-433-NAS,990419,56.9,33.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-434-NAS,990419,57.9,34.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-435-NAS,990420,52.5,34.1,16.4,70.7,12.9,Nasooz Ekbatan sepahan
DOL99-436-NAS,990420,54.6,34.9,0,0,0,Nasooz Ekbatan sepahan
DOL99-437-NAS,990420,54.6,36.8,0,0,0,Nasooz Ekbatan sepahan
DOL99-438-NAS,990420,55.8,34.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-446-ARD,990421,45.8,30.5,9.3,87.1,3.6,Zareh Shahi (Ardakan)
DOL99-447-ARD,990421,44.9,30.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-457-ARD,990421,45.3,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-458-ARD,990421,46.3,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-459-ARD,990422,50,30.4,5.8,87.1,7.1,Zareh Shahi (Ardakan)
DOL99-460-ARD,990422,50.6,30,0,0,0,Zareh Shahi (Ardakan)
DOL99-463-ARD,990422,50.4,34.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-464-ARD,990422,45.5,30.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-472-ARD,990423,48.6,27.7,2.1,96.5,1.4,Zareh Shahi (Ardakan)
DOL99-473-ARD,990423,49,28,0,0,0,Zareh Shahi (Ardakan)
DOL99-474-ARD,990423,43.8,29,0,0,0,Zareh Shahi (Ardakan)
DOL99-482-ARD,990424,48.4,27.5,1.4,94.3,4.3,Zareh Shahi (Ardakan)
